...1,Year,Comodity,Units,Value
Brant,2024E,Canola,Acres seeded,145.95198729064307
Brant,2024E,Canola,Acres harvested,144.54700140910748
Brant,2024E,Canola,Yield (bushels/acre),60.26589434490391
Brant,2024E,Canola,Production ('000 bushels),8.71125431479395
Brant,2024E,Canola,Production ('000 tonnes),0.19756995180064296
Chatham-Kent,2024E,Canola,Acres seeded,1888.7904237612634
Chatham-Kent,2024E,Canola,Acres harvested,1870.6082535296262
Chatham-Kent,2024E,Canola,Yield (bushels/acre),69.22324844208073
Chatham-Kent,2024E,Canola,Production ('000 bushels),129.48957987188805
Chatham-Kent,2024E,Canola,Production ('000 tonnes),2.9368044060575174
Elgin,2024E,Canola,Acres seeded,0
Elgin,2024E,Canola,Acres harvested,0
Elgin,2024E,Canola,Yield (bushels/acre),0
Elgin,2024E,Canola,Production ('000 bushels),0
Elgin,2024E,Canola,Production ('000 tonnes),0
Essex,2024E,Canola,Acres seeded,3008.156312170325
Essex,2024E,Canola,Acres harvested,2979.1987266895926
Essex,2024E,Canola,Yield (bushels/acre),41.26831720337257
Essex,2024E,Canola,Production ('000 bushels),122.94651806490975
Essex,2024E,Canola,Production ('000 tonnes),2.7884087377508338
Haldimand-Norfolk,2024E,Canola,Acres seeded,386.34349576934926
Haldimand-Norfolk,2024E,Canola,Acres harvested,382.6244154946962
Haldimand-Norfolk,2024E,Canola,Yield (bushels/acre),88.51762226173628
Haldimand-Norfolk,2024E,Canola,Production ('000 bushels),33.869003478877154
Haldimand-Norfolk,2024E,Canola,Production ('000 tonnes),0.768143959876557
Hamilton,2024E,Canola,Acres seeded,0
Hamilton,2024E,Canola,Acres harvested,0
Hamilton,2024E,Canola,Yield (bushels/acre),0
Hamilton,2024E,Canola,Production ('000 bushels),0
Hamilton,2024E,Canola,Production ('000 tonnes),0
Lambton,2024E,Canola,Acres seeded,2175.3714435119496
Lambton,2024E,Canola,Acres harvested,2154.430542178803
Lambton,2024E,Canola,Yield (bushels/acre),59.37618134131337
Lambton,2024E,Canola,Production ('000 bushels),127.92185855967269
Lambton,2024E,Canola,Production ('000 tonnes),2.9012487199417736
Middlesex,2024E,Canola,Acres seeded,477.3488525505738
Middlesex,2024E,Canola,Acres harvested,472.7537222556691
Middlesex,2024E,Canola,Yield (bushels/acre),19.498801278486436
Middlesex,2024E,Canola,Production ('000 bushels),9.218130883928064
Middlesex,2024E,Canola,Production ('000 tonnes),0.20906583697559794
Niagara,2024E,Canola,Acres seeded,741.7795118771506
Niagara,2024E,Canola,Acres harvested,734.6388777498167
Niagara,2024E,Canola,Yield (bushels/acre),67.26552746220985
Niagara,2024E,Canola,Production ('000 bushels),49.41587160608732
Niagara,2024E,Canola,Production ('000 tonnes),1.1207446159413799
Oxford,2024E,Canola,Acres seeded,0
Oxford,2024E,Canola,Acres harvested,0
Oxford,2024E,Canola,Yield (bushels/acre),0
Oxford,2024E,Canola,Production ('000 bushels),0
Oxford,2024E,Canola,Production ('000 tonnes),0
Southern Ontario,2024E,Canola,Acres seeded,8823.742026931255
Southern Ontario,2024E,Canola,Acres harvested,8738.801539307311
Southern Ontario,2024E,Canola,Yield (bushels/acre),55.107352491532744
Southern Ontario,2024E,Canola,Production ('000 bushels),481.57221678015696
Southern Ontario,2024E,Canola,Production ('000 tonnes),10.921986228344302
Bruce,2024E,Canola,Acres seeded,500.6664443599645
Bruce,2024E,Canola,Acres harvested,427.09031055577367
Bruce,2024E,Canola,Yield (bushels/acre),56.14399337071771
Bruce,2024E,Canola,Production ('000 bushels),23.978555564541125
Bruce,2024E,Canola,Production ('000 tonnes),0.5438300726785159
Dufferin,2024E,Canola,Acres seeded,1091.7724230309097
Dufferin,2024E,Canola,Acres harvested,931.3294878481115
Dufferin,2024E,Canola,Yield (bushels/acre),55.18300484790705
Dufferin,2024E,Canola,Production ('000 bushels),51.393559642921126
Dufferin,2024E,Canola,Production ('000 tonnes),1.1655982863766925
Grey,2024E,Canola,Acres seeded,2352.0670407378757
Grey,2024E,Canola,Acres harvested,2006.4157568237197
Grey,2024E,Canola,Yield (bushels/acre),45.9441819913192
Grey,2024E,Canola,Production ('000 bushels),92.18313068175942
Grey,2024E,Canola,Production ('000 tonnes),2.090699688872345
Halton,2024E,Canola,Acres seeded,0
Halton,2024E,Canola,Acres harvested,0
Halton,2024E,Canola,Yield (bushels/acre),0
Halton,2024E,Canola,Production ('000 bushels),0
Halton,2024E,Canola,Production ('000 tonnes),0
Huron,2024E,Canola,Acres seeded,823.5184559439679
Huron,2024E,Canola,Acres harvested,702.4971556604788
Huron,2024E,Canola,Yield (bushels/acre),47.184782889672476
Huron,2024E,Canola,Production ('000 bushels),33.147175770452144
Huron,2024E,Canola,Production ('000 tonnes),0.7517730148428773
Peel,2024E,Canola,Acres seeded,0
Peel,2024E,Canola,Acres harvested,0
Peel,2024E,Canola,Yield (bushels/acre),0
Peel,2024E,Canola,Production ('000 bushels),0
Peel,2024E,Canola,Production ('000 tonnes),0
Perth,2024E,Canola,Acres seeded,971.0142987996038
Perth,2024E,Canola,Acres harvested,828.3175417489227
Perth,2024E,Canola,Yield (bushels/acre),61.07925228212244
Perth,2024E,Canola,Production ('000 bushels),50.59301610218994
Perth,2024E,Canola,Production ('000 tonnes),1.1474420779776364
Simcoe,2024E,Canola,Acres seeded,911.4423667129108
Simcoe,2024E,Canola,Acres harvested,777.5000858120901
Simcoe,2024E,Canola,Yield (bushels/acre),62.02092234047686
Simcoe,2024E,Canola,Production ('000 bushels),48.22127244186573
Simcoe,2024E,Canola,Production ('000 tonnes),1.0936512846290876
Waterloo,2024E,Canola,Acres seeded,0
Waterloo,2024E,Canola,Acres harvested,0
Waterloo,2024E,Canola,Yield (bushels/acre),0
Waterloo,2024E,Canola,Production ('000 bushels),0
Waterloo,2024E,Canola,Production ('000 tonnes),0
Wellington,2024E,Canola,Acres seeded,2071.3332865026487
Wellington,2024E,Canola,Acres harvested,1766.937621968715
Wellington,2024E,Canola,Yield (bushels/acre),62.33589846064936
Wellington,2024E,Canola,Production ('000 bushels),110.14364418934306
Wellington,2024E,Canola,Production ('000 tonnes),2.498041463062303
Western Ontario,2024E,Canola,Acres seeded,8721.814316087883
