DGUID,Total_jobs_125,HHI_125
2021S051235010155,636790,1017.87
2021S051235010156,632370,1020.07
2021S051235010157,663725,1006.18
2021S051235010158,631680,1019.99
2021S051235010159,640810,1014.85
2021S051235010160,660445,1006.57
2021S051235010161,651365,1009.25
2021S051235010162,668535,1003.3
2021S051235010163,664150,1004.9
2021S051235010164,671885,1001.54
2021S051235010165,671525,1001.28
2021S051235010166,677085,998.56
2021S051235010167,680845,996.94
2021S051235010168,674175,999.8
2021S051235010169,677580,998.13
2021S051235010170,671495,1000.96
2021S051235010171,664400,1004.03
2021S051235010172,671670,1000.83
2021S051235010173,665755,1003.23
2021S051235010174,672935,1000.06
2021S051235010175,672625,1000.23
2021S051235010176,656120,1006.31
2021S051235010177,654465,1006.81
2021S051235010178,660735,1004.93
2021S051235010179,674970,999.14
2021S051235010180,676820,998.35
2021S051235010181,677285,998.06
2021S051235010182,678260,997.56
2021S051235010183,678715,997.36
2021S051235010184,678935,997.32
2021S051235010185,678935,997.32
2021S051235010186,679150,997.39
2021S051235010187,678935,997.32
2021S051235010188,678630,997.5
2021S051235010189,678480,997.52
2021S051235010190,678270,997.69
2021S051235010191,678630,997.5
2021S051235010192,678630,997.5
2021S051235010193,679140,997.34
2021S051235010194,679140,997.34
2021S051235010195,679140,997.34
2021S051235010196,679355,997.41
2021S051235010197,679815,997.1
2021S051235010198,679670,997.25
2021S051235010199,679815,997.1
2021S051235010200,679815,997.1
2021S051235010201,674735,999.26
2021S051235010202,680215,996.99
2021S051235010203,679995,997.06
2021S051235010204,680215,996.99
2021S051235010205,679995,997.06
2021S051235010206,680215,996.99
2021S051235010207,679995,997.06
2021S051235010208,680650,996.98
2021S051235010209,680650,996.98
2021S051235010210,680650,996.98
2021S051235010211,681240,996.66
2021S051235010212,681790,996.2
2021S051235010213,681240,996.66
2021S051235010214,681790,996.2
2021S051235010215,681515,996.43
2021S051235010216,681915,996.21
2021S051235010217,681915,996.21
2021S051235010218,682475,995.83
2021S051235010219,682190,995.99
2021S051235010220,682675,995.73
2021S051235010221,682075,996.05
2021S051235010222,682675,995.73
2021S051235010223,682675,995.73
2021S051235010224,682675,995.73
2021S051235010225,682675,995.73
2021S051235010226,683245,995.51
2021S051235010227,683660,995.49
2021S051235010228,683660,995.49
2021S051235010229,683660,995.49
2021S051235010230,683825,995.33
2021S051235010231,683410,995.35
2021S051235010232,683410,995.35
2021S051235010233,683245,995.51
2021S051235010234,683245,995.51
2021S051235010235,683410,995.35
2021S051235010237,682285,996.05
2021S051235010238,682075,996.05
2021S051235010239,681790,996.2
2021S051235010240,682485,995.95
2021S051235010241,682275,995.95
2021S051235010242,682075,996.05
2021S051235010243,682885,995.73
2021S051235010244,681790,996.2
2021S051235010245,681790,996.2
2021S051235010246,681260,996.45
2021S051235010247,680925,996.75
2021S051235010248,681200,996.52
2021S051235010249,680650,996.98
2021S051235010250,686330,994.09
2021S051235010251,683890,995.41
2021S051235010252,683090,995.71
2021S051235010253,683455,995.55
2021S051235010254,683090,995.71
2021S051235010255,683090,995.71
2021S051235010256,683320,995.63
2021S051235010257,681495,996.58
2021S051235010258,682115,996.11
2021S051235010259,683090,995.71
2021S051235010260,679425,997.22
2021S051235010261,680650,996.98
2021S051235010262,679330,997.34
2021S051235010263,679850,997.2
2021S051235010264,679850,997.2
2021S051235010265,679850,997.2
2021S051235010266,679355,997.41
2021S051235010267,679850,997.2
2021S051235010268,679355,997.41
2021S051235010269,679850,997.2
2021S051235010270,679355,997.41
2021S051235010271,679670,997.25
2021S051235010272,679670,997.25
2021S051235010273,682760,996.01
2021S051235010274,683455,995.55
2021S051235010275,686025,994.17
2021S051235010276,684500,995.26
2021S051235010277,690700,992.41
2021S051235010278,690820,992.73
2021S051235010279,696005,990.38
2021S051235010280,695770,990.03
2021S051235010281,699800,988.72
2021S051235010282,697435,989.49
2021S051235010283,703040,987.38
2021S051235010284,703740,987.24
2021S051235010285,700735,988.27
2021S051235010286,702205,987.76
2021S051235010287,699705,988.41
2021S051235010288,707620,985.85
2021S051235010289,705410,986.44
2021S051235010290,710185,984.7
2021S051235010291,711755,984.34
2021S051235010292,712065,984.47
2021S051235010293,715905,983.56
2021S051235010294,714435,984.27
2021S051235010295,712660,984.65
2021S051235010296,712405,984.64
2021S051235010297,711915,984.73
2021S051235010298,717080,983.78
2021S051235010299,715110,984.45
2021S051235010300,708935,986.37
2021S051235010301,718170,986.44
2021S051235010302,729730,985.2
2021S051235010303,739065,983.25
2021S051235010304,733610,984.44
2021S051235010305,727040,985.78
2021S051235010306,708150,986.74
2021S051235010307,722265,987.58
2021S051235010308,716890,986.79
2021S051235010309,721200,986.98
2021S051235010310,718405,986.89
2021S051235010311,708490,986.49
2021S051235010312,703670,987.35
2021S051235010313,703050,987.53
2021S051235010314,702045,988.05
2021S051235010315,700665,988.47
2021S051235010316,700055,988.85
2021S051235010317,696910,990.18
2021S051235010318,693635,991.47
2021S051235010319,693325,991.43
